cohort	cohort_label	sample	species	deduplicated_reads
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL327-P2_S06	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL327-P2_S06	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL327-P2_S06	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL327-P2_S06	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL303-P1_S06	HTLV1	1003
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL303-P1_S06	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL303-P1_S06	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL303-P1_S06	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL303-P1_S06	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL302-P5_S06	HTLV1	996
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL302-P5_S06	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL302-P5_S06	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL302-P5_S06	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL302-P5_S06	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL233-C2_S08	HTLV1	894
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL233-C2_S08	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL233-C2_S08	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL233-C2_S08	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL233-C2_S08	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL209-C1_S02	HTLV1	884
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL209-C1_S02	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL209-C1_S02	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL209-C1_S02	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL209-C1_S02	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL214-C1_S09	HTLV1	789
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL214-C1_S09	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL214-C1_S09	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL214-C1_S09	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL214-C1_S09	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL302-P10_S03	HTLV1	767
